DATE,CPALTT01USM657N
1998-01-01,0.185988840669536
1998-02-01,0.185643564356445
1998-03-01,0.185299567634335
1998-04-01,0.184956843403215
1998-05-01,0.184615384615393
1998-06-01,0.122850122850123
1998-07-01,0.122699386503052
1998-08-01,0.12254901960786
1998-09-01,0.122399020807818
1998-10-01,0.24449877750613
1998-11-01,0
1998-12-01,-0.0609756097561058
1999-01-01,0.244051250762677
1999-02-01,0.121728545343868
1999-03-01,0.303951367781164
1999-04-01,0.727272727272714
1999-05-01,0
1999-06-01,0
1999-07-01,0.300842358604085
1999-08-01,0.239952009598097
1999-09-01,0.478755236385384
1999-10-01,0.178677784395466
1999-11-01,0.0594530321046454
1999-12-01,0
2000-01-01,0.297088532382659
2000-02-01,0.592417061611377
2000-03-01,0.824499411071837
2000-04-01,0.058411214953279
2000-05-01,0.116754232340923
2000-06-01,0.524781341107882
2000-07-01,0.23201856148492
2000-08-01,0
2000-09-01,0.520833333333312
2000-10-01,0.172711571675311
2000-11-01,0.0574712643678088
2000-12-01,-0.0574382538770748
2001-01-01,0.632183908045972
2001-02-01,0.39977155910909
2001-03-01,0.227531285551749
2001-04-01,0.3972758229285
2001-05-01,0.452232899943458
2001-06-01,0.16882386043895
2001-07-01,-0.280898876404488
2001-08-01,0
2001-09-01,0.450704225352114
2001-10-01,-0.33651149747618
2001-11-01,-0.168823860438935
2001-12-01,-0.394588500563707
2002-01-01,0.226372382569328
2002-02-01,0.395256916996071
2002-03-01,0.562429696287966
2002-04-01,0.559284116331084
2002-05-01,0
2002-06-01,0.0556173526140231
2002-07-01,0.111172873818774
2002-08-01,0.333148250971684
2002-09-01,0.16602102933039
2002-10-01,0.165745856353599
2002-11-01,0
2002-12-01,-0.220628792057364
2003-01-01,0.442233278054161
2003-02-01,0.770500825536602
2003-03-01,0.600764609502999
2003-04-01,-0.217155266015187
2003-05-01,-0.163220892274219
2003-06-01,0.108991825613079
2003-07-01,0.108873162765379
2003-08-01,0.380641653072316
2003-09-01,0.325027085590467
2003-10-01,-0.107991360691145
2003-11-01,-0.270270270270264
2003-12-01,-0.108401084010841
2004-01-01,0.48833423765599
2004-02-01,0.539956803455712
2004-03-01,0.644468313641263
2004-04-01,0.320170757737461
2004-05-01,0.585106382978719
2004-06-01,0.317292437863566
2004-07-01,-0.158144438587237
2004-08-01,0.0527983104540587
2004-09-01,0.211081794195252
2004-10-01,0.526592943654557
2004-11-01,0.0523834468308086
2004-12-01,-0.366492146596853
2005-01-01,0.210194429847596
2005-02-01,0.576822233875206
2005-03-01,0.782064650677772
2005-04-01,0.672529746508014
2005-05-01,-0.102774922918795
2005-06-01,0.0514403292181004
2005-07-01,0.462724935732656
2005-08-01,0.511770726714434
2005-09-01,1.22199592668025
2005-10-01,0.201207243460752
2005-11-01,-0.803212851405626
2005-12-01,-0.40485829959513
2006-01-01,0.762195121951216
2006-02-01,0.20171457387795
2006-03-01,0.55359838953198
2006-04-01,0.850850850850834
2006-05-01,0.496277915632743
2006-06-01,0.197530864197532
2006-07-01,0.295712173484489
2006-08-01,0.196560196560197
2006-09-01,-0.490436488474757
2006-10-01,-0.542138984721521
2006-11-01,-0.148662041625379
2006-12-01,0.148883374689833
2007-01-01,0.305252725470763
2007-02-01,0.535036755987662
2007-03-01,0.910569585108543
2007-04-01,0.649616268650889
2007-05-01,0.61107186747047
2007-06-01,0.193797517660565
2007-07-01,-0.0254377207802054
2007-08-01,-0.183390222708711
2007-09-01,0.275590740535893
2007-10-01,0.213919132812117
2007-11-01,0.593961787341581
2007-12-01,-0.0670863129647814
2008-01-01,0.497057647260469
